"Source:","C:\Users\Ben\Desktop\MultiSpectLED\MultiSpectLED.sch"
"Date:","02/19/22 12:57:11"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","102"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"","","R10","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R11","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R12","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R13","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R14","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R15","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","SW1","NKK_HEXADEC","MultiSpectLED:NKK_HEXADEC","MultiSpectLED:NKK_FR02","","360-2543-1-ND"
"","","SW2","NKK_HEXADEC","MultiSpectLED:NKK_HEXADEC","MultiSpectLED:NKK_FR02","","360-2543-1-ND"
"","","U1","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U2","TeensyLC","MultiSpectLED:TeensyLC","MultiSpectLED:TeensyLC","","1568-1233-ND"
"","","U3","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U4","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U5","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U6","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U7","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U8","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U9","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U10","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U11","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U12","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U13","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U14","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U15","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"","","U16","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"1","30","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"2","1","D1","470nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1029-1-ND"
"3","1","D2","448nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1038-1-ND"
"4","1","D3","280nm","MultiSpectLED:LED_PAD","MultiSpectLED:Luminus_XBT3535","~","1214-XBT-3535-UV-A130-CD270-00CT-ND"
"5","1","D4","405nm","MultiSpectLED:LED_PAD_ANODE_MARKED","MultiSpectLED:Everlight_ELUA3535","~","1080-1620-1-ND"
"6","1","D5","367nm","MultiSpectLED:LED_PAD","MultiSpectLED:SeoulViosys_CUN6GF1A","~","2112-CUN6GF1ACT-ND"
"7","1","D6","505nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1031-1-ND"
"8","1","D7","530nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1036-1-ND"
"9","1","D8","568nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1185-1-ND"
"10","1","D9","591nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1027-1-ND"
"11","1","D10","617nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1026-1-ND"
"12","1","D11","627nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1024-1-ND"
"13","1","D12","655nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1701-1-ND"
"14","1","D13","740nm","MultiSpectLED:LED_PAD_ANODE_MARKED","MultiSpectLED:QT_Brightek_QBHP684","~","1516-1213-1-ND"
"15","1","D14","850nm","MultiSpectLED:LED_PAD_ANODE_MARKED","MultiSpectLED:QT_Brightek_QBHP684","~",""
"16","1","D15","940nm","MultiSpectLED:LED_PAD_ANODE_MARKED","MultiSpectLED:QT_Brightek_QBHP684","~",""
"17","7","H1, H2, H3, H4, H5, H6, H7","3mm_PTH","MultiSpectLED:3mm_PTH","MultiSpectLED:3mm_PTH","",""
"18","1","J1","Conn_01x02_Female","Connector:Conn_01x02_Female","MultiSpectLED:FAN_PADS","~",""
"19","1","J2","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","MultiSpectLED:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","CP-036AHPJCT-ND"
"20","15","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"21","15","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"22","2","SW1, SW2","NKK_HEXADEC","MultiSpectLED:NKK_HEXADEC","MultiSpectLED:NKK_FR02","","360-2543-1-ND"
"23","15","U1, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16","PAM2804","MultiSpectLED:PAM2804","MultiSpectLED:SOT-23-5","","PAM2804AAB010DICT-ND"
"24","1","U2","TeensyLC","MultiSpectLED:TeensyLC","MultiSpectLED:TeensyLC","","1568-1233-ND"
